,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex,t_cplex_relax,f_cplex_relax
110,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-87.80108248785886,2.9188380900648503,0.16373268503230065,0.12736159202177078,-314.1800903217026,0.13797716796398163,-314.18009015789096
111,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,125.71042332519202,2.3976670835135936,0.09062439005356282,0.12776209495496005,-77.97981702206148,0.151737947948277,-77.97981698465009
112,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,26.762784942138737,3.3021203071886878,0.1570255149854347,0.12623511196579784,-199.27789775958624,0.13546027801930904,-199.32055584732592
113,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,165.08228502847365,2.4023616722391044,0.17093517794273794,0.12486455193720758,-58.27002757855814,0.14385878201574087,-58.287122683308986
114,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,162.52023833558437,3.0539951595782817,0.17994136095512658,0.13166846602689475,-22.205012015025098,0.14652964810375124,-22.205012007617476
115,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,319.5190611534167,1.8550077620304666,0.08253576594870538,0.1261690880637616,-15.95230716014755,0.14438678394071758,-15.952307130299468
116,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-32.61058261923658,2.957427042529102,0.16657252900768071,0.12860072206240147,-260.077821330735,0.1411475749919191,-260.09760704084744
117,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,170.9345275300594,3.083028089864064,0.08646091399714351,0.13099427695851773,-56.1285934932339,0.13896386104170233,-56.170159916566185
118,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-15.815075291916404,3.581267420398712,0.15483161399606615,0.152664246968925,-198.68481699319034,0.12855004600714892,-198.77463247676388
119,100,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,152.47955656784632,3.8865509697632934,0.16252603300381452,0.1269977999618277,-48.72826365278539,0.1399221799802035,-48.80178057587008
120,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1017.9952621981952,13.357267335514464,0.4113932850304991,0.2583112010033801,-3665.1840345267833,0.3702123099938035,-3665.1961903827464
121,500,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-447.44722112150185,15.985488252604146,0.41843119799159467,0.27545822295360267,-2742.346626071261,0.3692042260663584,-2742.4707893385516
